Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
G -Therapeutics,https://www.crunchbase.com/organization/g-therapeutics,"Biotechnology, Medical Device, Therapeutics","Lausanne, Vaud, Switzerland",G-Therapeutics SA develops and offers an implantable stimulation system and a robot-assisted training program to rehabilitate individuals.,info@gtherapeutics.com,+3140 288 2830,http://gtherapeutics.com/#Home,For Profit,3,Early Stage Venture,"€26,000,000",4/19/16,Series A,"€36,000,000","Biotechnology, Health Care, Science and Engineering",Private
Inscopix,https://www.crunchbase.com/organization/inscopix,"Biopharma, Biotechnology, Medical, Medical Device","Palo Alto, California, United States",Inscopix is pioneering a new paradigm in the quest to understand the brain and its diseases.,,650-353-1472,http://www.inscopix.com,For Profit,1,Early Stage Venture,"$10,000,000 ",8/25/16,Series A,"$10,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Qrativ,https://www.crunchbase.com/organization/qrativ,"Artificial Intelligence, Biotechnology, Machine Learning, Pharmaceutical","Cambridge, Massachusetts, United States",AI platform and clinical data and a remit to identify treatments for rare diseases.,agustin@nference.net,,http://qrativ.bio/,For Profit,1,Early Stage Venture,"$8,300,000 ",7/14/17,Series A,"$8,300,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
NexImmune,https://www.crunchbase.com/organization/neximmune,"Biopharma, Biotechnology, Therapeutics","Gaithersburg, Maryland, United States",NexImmune is a biopharmaceutical company developing novel immuno-therapeutics based on the proprietary artificial immune technology.,kcarter@neximmune.com,3018610009,http://www.neximmune.com,,4,Early Stage Venture,"$23,000,000 ",1/2/18,Series A,"$28,212,000 ","Biotechnology, Health Care, Science and Engineering",Private
BIOMx,https://www.crunchbase.com/organization/biomx-inc,"Biotechnology, Health Care, Therapeutics","Israel, Asia","An Israeli microbiome therapeutics company,",info@biomx.com,97289553100,http://biomx.com/,For Profit,1,Early Stage Venture,"$24,000,000 ",5/15/17,Series A,"$24,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Emergo Therapeutics,https://www.crunchbase.com/organization/emergo-therapeutics,"Biopharma, Biotechnology, Clinical Trials, Pharmaceutical","Durham, North Carolina, United States",A pharmaceutical startup .,,,http://directory.ncbiotech.org/content/emergo-therapeutics-inc,,1,Early Stage Venture,"$12,000,000 ",5/23/18,Series A,"$12,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Jnana,https://www.crunchbase.com/organization/jnana,"Biotechnology, Health Care, Therapeutics","Boston, Massachusetts, United States",Jnana Therapeutics biotechnology Company.,info@jnanatx.com,,https://www.jnanatx.com,,1,Early Stage Venture,"$50,000,000 ",12/14/17,Series A,"$50,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Genoa Pharmaceuticals,https://www.crunchbase.com/organization/genoa-pharmaceuticals,"Biopharma, Biotechnology, Medical","San Diego, California, United States",Genoa Pharmaceuticals develops therapies for the treatment of idiopathic pulmonary fibrosis.,info@genoapharma.com,619-992-6488,http://www.genoapharma.com,,2,Early Stage Venture,"$62,000,000 ",5/15/17,Series A,"$64,179,480 ","Biotechnology, Health Care, Science and Engineering",Private
KBP Biosciences,https://www.crunchbase.com/organization/kbp-biosciences,"Biotechnology, Health Care, Pharmaceutical","Princeton, New Jersey, United States",A multinational clinical stage biotechnology company.,fred.yang@kbpbiosciences.com,609) 531-0889,https://kbpbiosciences.com/,For Profit,1,Early Stage Venture,"$76,000,000 ",1/5/18,Series A,"$76,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Canopy Biosciences,https://www.crunchbase.com/organization/canopy-biosciences,"Biopharma, Biotechnology, Life Science","St Louis, Missouri, United States",Canopy Biosciences aims to accelerate the commercialization of life science reagent tools and services through in-licensing.,info@canopybiosciences.com,,http://www.canopybiosciences.com,,2,Early Stage Venture,"$2,400,000 ",5/22/18,Series A,"$4,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Anokion ,https://www.crunchbase.com/organization/anokion-sa,"Biotechnology, Clinical Trials, Therapeutics","Ecublens, Vaud, Switzerland",Anokion is harnessing the power of natural immune equilibrium to develop solutions for antigen-specific immune tolerance.,info@anokion.com,,http://anokion.com/,For Profit,1,M&A,"$37,500,000 ",5/9/14,Series A,"$37,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
RoosterBio,https://www.crunchbase.com/organization/roosterbio,"Biotechnology, Medical, Medical Device","Frederick, Maryland, United States","RoosterBio, Inc., a biotechnology company, offers synthetic biology and regenerative medicine.",info@roosterbio.com,301-678-9497,http://roosterbio.com,,3,Early Stage Venture,"$6,000,000 ",3/15/17,Series A,"$6,350,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cirius Therapeutics,https://www.crunchbase.com/organization/octeta-therapeutics,"Biopharma, Biotechnology, Medical Device, Pharmaceutical","Kalamazoo, Michigan, United States","Cirius Therapeutics, a clinical-stage pharmaceutical company.",,(269)343-6732,http://ciriustx.com/,For Profit,1,Early Stage Venture,"$40,000,000 ",4/11/17,Series A,"$40,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Biosyntia,https://www.crunchbase.com/organization/biosyntia,"Biopharma, Biotechnology, Clinical Trials, Medical Device","Hørsholm, Hovedstaden, Denmark",Biosyntia is a biotech startup within synthetic biology and metabolic engineering.,info@biosyntia.com,,http://biosyntia.com,For Profit,2,Early Stage Venture,"€4,000,000",5/23/18,Series A,"$6,553,839 ","Biotechnology, Health Care, Science and Engineering",Private
Bamboo Therapeutics,https://www.crunchbase.com/organization/bamboo-therapeutics,"Biotechnology, Genetics, Manufacturing, Therapeutics","North Carolina, United States, North America",Bamboo Therapeutics Announces the Acquisition of the Vector Core Manufacturing Facility from UNC-Chapel Hill,jobs@bambootherapeutics.com,(919)942-0252,http://bambootherapeutics.com/,For Profit,1,M&A,"$49,500,000 ",2/11/16,Series A,"$49,500,000 ","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
"Lumen Bioscience, Inc.",https://www.crunchbase.com/organization/lumen-bioscience-inc,Biotechnology,"Seattle, Washington, United States",Lumen Bioscience is a Seattle-based syn-bio company developing of the blue-green algae Spirulina as an industrial scale production platform.,,206-899-1904,http://www.lumenbioscience.com,,2,Early Stage Venture,"$11,200,000 ",12/5/17,Series A,"$13,000,000 ","Biotechnology, Science and Engineering",Private
Kyn Therapeutics,https://www.crunchbase.com/organization/kyn-therapeutics,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",A biotechnology company.,info@kyntherapeutics.com,1-857-273-8343,https://kyntherapeutics.com/,,1,Early Stage Venture,"$49,000,000 ",12/14/17,Series A,"$49,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Inthera Bioscience,https://www.crunchbase.com/organization/inthera-bioscience,Biotechnology,"Schlieren, Zurich, Switzerland",Inthera Bioscience is focused on developing inhibitors of intracellular protein interactions employing a proprietary technology platform.,,,,For Profit,3,Early Stage Venture,"€4,700,000",6/26/18,Series A,"€13,000,000","Biotechnology, Science and Engineering",Private
NuProbe,https://www.crunchbase.com/organization/nuprobe,"Biotechnology, Health Care, Health Diagnostics","Boston, Massachusetts, United States",An early stage molecular diagnostics company.,,,http://nuprobe.com/,For Profit,1,Early Stage Venture,"$11,000,000 ",4/23/18,Series A,"$11,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,"Biotechnology, Genetics, Pharmaceutical","San Francisco, California, United States","Cambrian Genomics is a biotechnology company which uses a novel, laser based technique to synthesize DNA.",info@cambriangenomics.com,4154955570,http://cambriangenomics.com,For Profit,3,Early Stage Venture,"$11,228,000 ",11/20/14,Series A,"$11,228,000 ","Biotechnology, Health Care, Science and Engineering",Private
Delinia,https://www.crunchbase.com/organization/delinia,Biotechnology,"San Francisco, California, United States",Delinia was founded to discover and develop novel therapeutics for the treatment of autoimmune and inflammatory diseases.,fmarrero@celgene.com,708-555-1234,https://deliniabio.com/,For Profit,1,M&A,"$35,000,000 ",9/14/16,Series A,"$35,000,000 ","Biotechnology, Science and Engineering",Private
Genome Compiler,https://www.crunchbase.com/organization/genome-compiler,"Biotechnology, CAD, Collaboration, Health Care, Software","Los Altos, California, United States",Genome Compiler is a computer aided design and collaboration platforms for the synthetic biology industry,info@genomecompiler.com,510-316-6584,http://www.genomecompiler.com/,For Profit,2,M&A,"$5,750,000 ",6/1/15,Series A,"$5,750,000 ","Biotechnology, Design, Health Care, Science and Engineering, Software",Private
Agilvax,https://www.crunchbase.com/organization/agilvax,"Biotechnology, Health Care, Medical","Albuquerque, New Mexico, United States",Agilvax is a private company that discovers and develops immunotherapies to combat cancer & targeted vaccines against infectious diseases,info@agilvax.com,5057974531,http://agilvax.com/,,3,Early Stage Venture,,5/15/18,Series A,"$3,150,000 ","Biotechnology, Health Care, Science and Engineering",Private
 JW Therapeutics,https://www.crunchbase.com/organization/jw-therapeutics,"Biotechnology, Health Care, Manufacturing","Shanghai, Shanghai, China",Shanghai based therapeutics platform.,,,http://www.jwtherapeutics.com/,,1,Early Stage Venture,"$90,000,000 ",3/7/18,Series A,"$90,000,000 ","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
Clinical Genomics Technologies,https://www.crunchbase.com/organization/clinical-genomics-technologies,"Biotechnology, Genetics, Health Care, Health Diagnostics","Sydney, New South Wales, Australia",Clinical Genomics develops innovative products for colorectal cancer diagnosis.,contact@clinicalgenomics.com,(908)300-8673,http://www.clinicalgenomics.com,For Profit,1,Early Stage Venture,"$19,700,000 ",3/23/16,Series A,"$19,700,000 ","Biotechnology, Health Care, Science and Engineering",Private
Pandorum Technologies,https://www.crunchbase.com/organization/pandorum-technologies,Biotechnology,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,contact@pandorumtechnologies.in,,http://pandorumtechnologies.in/,,1,Early Stage Venture,"$3,600,000 ",2/14/18,Series A,"$3,600,000 ","Biotechnology, Science and Engineering",Private
Envisia Therapeutics,https://www.crunchbase.com/organization/envisia-therapeutics,"Biotechnology, Medical, Therapeutics","Morrisville, North Carolina, United States",Envisia Therapeutics is a biotechnology company focused on the research and development of novel ocular therapies.,info@envisiatherapeutics.com,(919)973-1440,http://envisiatherapeutics.com,For Profit,3,Early Stage Venture,"$16,500,000 ",3/17/16,Series A,"$46,100,000 ","Biotechnology, Health Care, Science and Engineering",Private
Purigen Biosystems,https://www.crunchbase.com/organization/purigen-biosystems,"Biotechnology, Health Care, Health Diagnostics","Pleasanton, California, United States",Purigen Biosystems develops an isotachophoresis chip for nucleic acid preparation.,info@purigenbio.com,(925)264-1364,http://www.purigenbio.com/,For Profit,4,Early Stage Venture,"$18,200,000 ",5/17/16,Series A,"$32,241,856 ","Biotechnology, Health Care, Science and Engineering",Private
GemmaCert,https://www.crunchbase.com/organization/cannabi-tech,"AgTech, Biotechnology, Health Diagnostics, Life Science, Medical","Israel, Asia","A biotechnology company, focusing on medicinal plant composition analysis. applications, used by licensed businesses and households.",info@gemmacert.com,,http://gemmacert.com/,For Profit,2,Early Stage Venture,"$2,250,000 ",2/13/18,Series A,"$3,250,000 ","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Private
Morphic Therapeutic,https://www.crunchbase.com/organization/morphic-rock-therapeutic,"Biotechnology, Medical, Therapeutics","Waltham, Massachusetts, United States",Morphic Therapeutic is a biotechnology company developing a new generation of oral integrin therapies,info@morphictx.com,(781)996-0955,http://morphictx.com/,For Profit,1,Early Stage Venture,"$51,500,000 ",6/30/16,Series A,"$51,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Paragon Genomics,https://www.crunchbase.com/organization/paragon-genomics,Biotechnology,"Hayward, California, United States",A life science company.,contact@paragongenomics.com,(415)545-8783,https://www.paragongenomics.com/,For Profit,1,Early Stage Venture,"$8,000,000 ",9/12/17,Series A,"$8,000,000 ","Biotechnology, Science and Engineering",Private
Paragon Bioservices,https://www.crunchbase.com/organization/paragon-bioservices,"Biotechnology, Clinical Trials, Manufacturing","Baltimore, Maryland, United States","Founded in 1990, Paragon Bioservices is a CRO-CMO whose focus is biopharmaceuticals",,(410) 975-4050,http://paragonbioservices.com,For Profit,2,Early Stage Venture,"$2,000,000 ",8/18/15,Series A,"$15,000,000 ","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
Sonavex,https://www.crunchbase.com/organization/sonavex,"Biotechnology, Health Care, Medical","Baltimore, Maryland, United States",Sonavex's EchoSure detects blood clots prior to catastrophic and expensive surgical failures.,contact@sonavex.com,(443) 797-2584,http://www.sonavex.com,For Profit,8,Early Stage Venture,"$1,000,000 ",3/9/18,Series A,"$6,595,192 ","Biotechnology, Health Care, Science and Engineering",Private
Cirina,https://www.crunchbase.com/organization/cirina,Biotechnology,"New York, New York, United States",At Cirina we are pioneering products that detect cancer at its earliest stages and empower you to take action.,joinus@cirina.com,415) 722-2129,http://www.cirina.com/,For Profit,1,Early Stage Venture,"$12,000,000 ",10/25/16,Series A,"$12,000,000 ","Biotechnology, Science and Engineering",Private
Bionure,https://www.crunchbase.com/organization/bionure,Biotechnology,"Menlo Park, California, United States",Bionure is a late-preclinical company focused at developing First-in-Class SGK agonists for the treatment of rare ophthalmology diseases.,info@bionure.com,650-690-4701,http://www.bionure.com/,For Profit,2,Early Stage Venture,"€4,000,000",5/17/18,Series A,"€5,066,712","Biotechnology, Science and Engineering",Private
Laekna Therapeutics,https://www.crunchbase.com/organization/laekna-therapeutics,"Biotechnology, FinTech","Shanghai, Shanghai, China",A startup biotech company focusing on drug discovery and development.,,,,,1,Early Stage Venture,"$18,500,000 ",6/4/18,Series A,"$18,500,000 ","Biotechnology, Financial Services, Science and Engineering",Private
Morphogenesis,https://www.crunchbase.com/organization/morphogenesis,"Biotechnology, Genetics, Health Care, Medical, Therapeutics","Tampa, Florida, United States",Morphogenesis is a clinical stage company developing novel cell and gene therapies,,(904)418-1545,http://www.morphogenesis-inc.com/,For Profit,1,Early Stage Venture,"$16,000,000 ",5/3/18,Series A,"$16,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Alpine Immune Sciences,https://www.crunchbase.com/organization/alpine-immune-sciences,"Biotechnology, Health Care, Medical","Seattle, Washington, United States","Alpine Immune Sciences is an immunotherapy startup focused on developing recombinant, protein-based therapeutic solutions.",,(206)441-5062,http://alpineimmunesciences.com/,For Profit,2,Early Stage Venture,"$48,000,000 ",6/13/16,Series A,"$49,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
Ascus Biosciences,https://www.crunchbase.com/organization/ascus-biosciences,"Biotechnology, Life Science","San Diego, California, United States","Ascus Biosciences uses novel microbial community screening methods to discover, develop, and commercialize next generation feed additives.",,(877) 696-8945,http://www.ascusbiosciences.com,,1,Early Stage Venture,"$12,500,000 ",4/11/16,Series A,"$12,500,000 ","Biotechnology, Science and Engineering",Private
UgenTec,https://www.crunchbase.com/organization/ugentec,"Biotechnology, Hospital, Medical","Hasselt, Limburg, Belgium",UgenTec delivers an independent diagnostic platform to help molecular labs with their DNA (PCR) analyses.,info@ugentec.com,+32 78 48 44 79,http://ugentec.com,For Profit,6,Early Stage Venture,"€7,500,000",3/29/18,Series A,"€11,150,000","Biotechnology, Health Care, Science and Engineering",Private
Orreco,https://www.crunchbase.com/organization/orreco,"Apps, Biotechnology, Sports","Cambridge, Massachusetts, United States","Orreco provide biomarker analysis for world leading athletes, federations and professional franchises.",info@orreco.com,3.53719E+11,http://orreco.com/,For Profit,2,Early Stage Venture,"$2,000,000 ",2/15/17,Series A,"$3,062,149 ","Apps, Biotechnology, Science and Engineering, Software, Sports",Private
AWAK Technologies,https://www.crunchbase.com/organization/awak,"Biotechnology, Wearables","Burbank, California, United States","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.",info@awak.com,,http://www.awak.com,,2,Early Stage Venture,"$11,200,000 ",12/1/16,Series A,"$17,200,000 ","Biotechnology, Consumer Electronics, Hardware, Science and Engineering",Private
Raze Therapeutics,https://www.crunchbase.com/organization/raze-therapeutics,"Biotechnology, Health Care, Information Technology, Therapeutics","Cambridge, Massachusetts, United States","Raze Therapeutics, Inc., a biotechnology company, engages in the discovery and development of oncology therapeutics.",info@razetx.com,(617) 588-2600,http://www.razetx.com/,For Profit,1,Early Stage Venture,"$24,000,000 ",10/14/14,Series A,"$24,000,000 ","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
Seragon Pharmaceuticals,https://www.crunchbase.com/organization/seragon-pharmaceuticals,"Biotechnology, Health Care, Medical Device","San Diego, California, United States",Seragon Pharmaceuticals develops small-molecule drugs for the treatment of estrogen receptor dependent breast cancer.,info@Seragonpharm.com,858-369-7600,http://seragonpharm.com,,1,M&A,"$30,000,000 ",10/16/13,Series A,"$30,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Vtesse,https://www.crunchbase.com/organization/vtesse,"Biotechnology, Consumer Research, Health Care","Gaithersburg, Maryland, United States","Vtesse's lead compound, VTS-270, has shown promise in pre-clinical and clinical studies as a potential treatment for Niemann-Pick Disease.",info@vtessepharma.com,(240) 801-9261,http://www.vtessepharma.com/,For Profit,2,M&A,"$17,000,000 ",7/25/16,Series A,"$42,000,000 ","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",Private
Globin Solutions ,https://www.crunchbase.com/organization/globin-solutions,"Biotechnology, Pharmaceutical","Pittsburgh, Pennsylvania, United States",Biotechnology company inspired by globin chemistry and protein engineering focused on developing breakthrough antidotal therapies.,globinsolutionsinc@gmail.com,,https://globinsolutions.com/,,1,Early Stage Venture,"$5,000,000 ",5/11/18,Series A,"$5,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
BioDigital,https://www.crunchbase.com/organization/biodigital,"3D Technology, Biotechnology","New York, New York, United States","BioDigital offers BioDigital Human Platform, a tool that simplifies complex health concepts through visualization.                    ",info@biodigital.com,6462052277,http://biodigitalhuman.com,,2,Early Stage Venture,"$4,000,000 ",9/24/13,Series A,"$4,450,000 ","Biotechnology, Hardware, Science and Engineering, Software",Private
Minoryx Therapeutics,https://www.crunchbase.com/organization/minoryx-therapeutics,"Biotechnology, Genetics, Medical, Pharmaceutical","Barcelona, Catalonia, Spain","Minoryx Therapeutics offers pharmacological chaperones, which are small molecule drugs used for the treatment of genetic diseases.",info@minoryx.com,34 93 702 19 75,http://www.minoryx.com,,3,M&A,"€19,400,000",10/14/15,Series A,"€22,500,000","Biotechnology, Health Care, Science and Engineering",Private
Lysosomal Therapeutics ,https://www.crunchbase.com/organization/lysosomal-therapeutics,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Delivering cures for neurodegenerative diseases.,info@lysosomaltx.com,617-913-0166,http://lysosomaltx.com,For Profit,2,M&A,"$20,000,000 ",2/3/15,Series A,"$24,800,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cerevance,https://www.crunchbase.com/organization/cerevance,"Biotechnology, Life Science, Therapeutics","Cambridge, Massachusetts, United States",Cerevance is develops therapeutics for neurological and psychiatric disorders. ,,,https://www.cerevance.com/,For Profit,2,Early Stage Venture,"$5,000,000 ",5/3/17,Series A,"$41,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
EyeNetra,https://www.crunchbase.com/organization/eyenetra,"Biotechnology, Health Diagnostics","Somerville, Massachusetts, United States",EyeNetra develops mobile phone eye diagnostics that measure the correction of users' vision.,vitor@eyenetra.com,(617)318-8685,http://eyenetra.com,For Profit,3,Early Stage Venture,"$4,000,000 ",7/29/14,Series A,"$7,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Elstar Therapeutics,https://www.crunchbase.com/organization/elstar-therapeutics,Biotechnology,"Cambridge, Massachusetts, United States",Fulfilling the promise of precision cancer immunotherapy through a powerful new approach to generating multi-functional therapeutics.,,(617) 917-4980,http://elstartherapeutics.com/,,1,Early Stage Venture,"$39,000,000 ",1/3/18,Series A,"$39,000,000 ","Biotechnology, Science and Engineering",Private
Intellijoint Surgical,https://www.crunchbase.com/organization/intellijoint-surgical,Biotechnology,"Waterloo, Ontario, Canada",Intellijoint Surgical™ is a privately held Canadian medical device company committed to assisting orthopaedic surgeons.,info@intellijointsurgical.com,(519) 342-3178,http://www.intellijointsurgical.com/,For Profit,3,Early Stage Venture,"$11,000,000 ",11/1/16,Series A,"$15,025,000 ","Biotechnology, Science and Engineering",Private
"Eccrine Systems, Inc.",https://www.crunchbase.com/organization/eccrine-systems,"Biotechnology, Medical, Sensor","Cincinnati, Ohio, United States","Eccrine Systems® is developing non-invasive, electronic wearable systems that measure and transmit real-time data about human sweat.",,,http://eccrine.com,For Profit,3,Early Stage Venture,"$5,500,000 ",10/4/16,Series A,"$7,860,000 ","Biotechnology, Hardware, Health Care, Science and Engineering",Private
Healx,https://www.crunchbase.com/organization/healx,"Biotechnology, Health Care, Medical","Cambridge, Cambridgeshire, United Kingdom",Healx is passionate about finding new therapeutic solutions for rare diseases.,info@healx.io,,http://healx.io/,For Profit,2,Early Stage Venture,"£1,500,000",10/4/16,Series A,"£1,500,000","Biotechnology, Health Care, Science and Engineering",Private
Ancera,https://www.crunchbase.com/organization/ancera,"Biotechnology, Health Diagnostics, Medical","Branford, Connecticut, United States",Ancera is focused on the business of rapid cell separation and pathogen diagnostics.,aganesan@anceradx.com,2038192322,http://ancera.com/,For Profit,3,Early Stage Venture,"$8,900,000 ",6/28/16,Series A,"$10,177,500 ","Biotechnology, Health Care, Science and Engineering",Private
Neurona Therapeutics,https://www.crunchbase.com/organization/neuron-therapeutics,"Biotechnology, Health Care, Therapeutics","San Francisco, California, United States",Neurona Therapeutics is a provider of cell-based medicines dealing with neurological disorders.,,(650) 799-6465,http://www.neuronatherapeutics.com/,For Profit,2,Early Stage Venture,"$23,500,000 ",12/1/15,Series A,"$31,144,339 ","Biotechnology, Health Care, Science and Engineering",Private
Theranica,https://www.crunchbase.com/organization/theranica,"Biotechnology, Medical, Therapeutics","Netanya, HaMerkaz, Israel",Theranica is an Israeli biomedical technology company focused on developing electronic and wireless communication technology.,nfo@theranica.com,-9252,http://theranica.com/,For Profit,2,Early Stage Venture,"$6,000,000 ",7/3/17,Series A,"$6,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Harbour Biomed,https://www.crunchbase.com/organization/harbour-biomed,"Biotechnology, Developer Platform, Therapeutics","Shanghai, Shanghai, China",Harbour BioMed is a global biotechnology company discovering and developing innovative therapeutics for cancer,contact@harbourbiomed.com,8.62151E+11,http://www.harbourbiomed.com/,For Profit,2,Early Stage Venture,,1/22/18,Series A,"$50,000,000 ","Biotechnology, Health Care, Science and Engineering, Software",Private
Capella BioScience,https://www.crunchbase.com/organization/capella-bioscience,"Biotechnology, Health Care, Pharmaceutical","London, England, United Kingdom",Capella Bioscience Limited engages in the discovery and development of monoclonal antibodies,info@capellabioscience.com,4.47748E+11,http://www.capellabioscience.com,For Profit,2,Early Stage Venture,"$15,500,000 ",3/8/16,Series A,"$15,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Lifecode,https://www.crunchbase.com/organization/lifecode,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical Device, Therapeutics","Foster City, California, United States",Lifecode is to improve the lives of patients by providing patient specific molecular information.,hello@lifecodehealth.com,(800) 210-2870,http://lifecodehealth.com/,For Profit,2,Early Stage Venture,"$20,500,000 ",2/19/15,Series A,"$20,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Artios Pharma,https://www.crunchbase.com/organization/artios-pharma,Biotechnology,"Cambridge, Cambridgeshire, United Kingdom",Artios was formed with assets out of Cancer Research Technology,info@artiospharma.com,4.40122E+12,http://www.artiospharma.com/,For Profit,2,Early Stage Venture,"£25,000,000",9/21/16,Series A,"£25,000,000","Biotechnology, Science and Engineering",Private
Circle Pharma,https://www.crunchbase.com/organization/circle-pharma,"Biotechnology, Clinical Trials, Therapeutics","San Francisco, California, United States",Circle Pharma is an early stage biotechnology company applying proprietary,info@circlepharma.com,8314592935,http://circlepharma.com,For Profit,3,Early Stage Venture,"$2,000,000 ",4/25/17,Series A,"$6,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
ImmuneXcite,https://www.crunchbase.com/organization/immunexcite,"Biotechnology, Health Care, Medical","Lexington, Massachusetts, United States",ImmuneXcite offers a platform technology for enhancing the efficacy of therapeutic monoclonal antibodies for disease targets.,info@immunexcite.com,6179637500,http://www.immunexcite.com,,3,Early Stage Venture,"$8,600,000 ",3/30/16,Series A,"$14,680,000 ","Biotechnology, Health Care, Science and Engineering",Private
OxSyBio,https://www.crunchbase.com/organization/oxsybio,"3D Technology, Biotechnology, Medical","London, England, United Kingdom",Developing 3D printing techniques to produce a range of tissue-like and functional tissues for medical research and clinical applications.,info@oxsybio.com,1133845825,http://www.oxsybio.com/,,1,Early Stage Venture,"£10,000,000",3/12/18,Series A,"£10,000,000","Biotechnology, Hardware, Health Care, Science and Engineering, Software",Private
Nativis,https://www.crunchbase.com/organization/nativis,"Biotechnology, Health Care, Therapeutics","Seattle, Washington, United States","Nativis, Inc. operates as a biotechnology company. It focuses on the development of therapeutic modalities for the treatment of serious",corporate@nativis.com,(206) 708-2288,http://nativis.com,For Profit,4,Early Stage Venture,"$10,000,000 ",2/24/17,Series A,"$20,136,414 ","Biotechnology, Health Care, Science and Engineering",Private
Step Pharma,https://www.crunchbase.com/organization/step-pharma,"Biotechnology, Pharmaceutical","Paris, Ile-de-France, France",Step Pharma is a biotechnology company.,info@step-ph.com,,http://www.step-ph.com/,,2,Early Stage Venture,"€14,500,000",11/21/17,Series A,"€14,500,000","Biotechnology, Health Care, Science and Engineering",Private
LifeLabs,https://www.crunchbase.com/organization/lifelabs,"Biotechnology, Health Care, Hospital","Toronto, Ontario, Canada",LifeLabs is a Canadian-owned company that has been serving the healthcare needs of Canadians for more than 50 years.,contactus@lifelabs.com,4162131930,http://lifelabs.com,For Profit,1,Early Stage Venture,"$2,300,000 ",3/2/18,Series A,"$2,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
Forge Therapeutics,https://www.crunchbase.com/organization/forge-therapeutics,Biotechnology,"San Diego, California, United States",Forge Therapeutics is a biotechnology company developing novel medicines by combining bio-inorganic with medicinal chemistry.,Info@ForgeTherapeutics.com,,http://www.forgetherapeutics.com/,For Profit,3,Early Stage Venture,"$15,000,000 ",4/25/17,Series A,"$23,800,000 ","Biotechnology, Science and Engineering",Private
Heart Metabolics,https://www.crunchbase.com/organization/heart-metabolics,"Biotechnology, Health Care, Therapeutics","San Francisco, California, United States","Heart Metabolics is a company based in UK, developing drugs to treat heart failure for hypertrophic cardiomyopathy patients.",info@heartmetabolics.com,(619) 849-5383,http://www.heartmetabolics.com,For Profit,2,Early Stage Venture,"$20,000,000 ",4/16/14,Series A,"$24,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cernostics,https://www.crunchbase.com/organization/cernostics,"Biotechnology, Health Diagnostics, Life Science, Medical Device","Danville, Pennsylvania, United States",Cernostics is a life science company developing new molecular diagnostic tests to treat cancer.,info@cernostics.com,(570)214-5123,http://www.cernostics.com,For Profit,11,Early Stage Venture,"$2,500,000 ",3/21/18,Series A,"$15,279,278 ","Biotechnology, Health Care, Science and Engineering",Private
Maverix Biomics,https://www.crunchbase.com/organization/maverix-biomics,Biotechnology,"San Mateo, California, United States","Maverix Biomics specializes in biologic research, bioinformatics, and enterprise application software development.",info@maverixbio.com,650-388-9277,http://maverixbio.com,,1,Early Stage Venture,"$6,000,000 ",1/7/14,Series A,"$6,000,000 ","Biotechnology, Science and Engineering",Private
